channel,txt,date,category
Всевидящее ОКО 🇺🇦 | Новини Україна,самоубийства в киеве продолжаются: утром в шевченковском районе 21-летний парень выпал с 5 этажа пресс-служба полиции: правовую квалификацию события правоохранители дадут по завершении проверки ,2023-11-02,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"зеленський розглядає можливість проведення президентських виборів навесні 2024 року, — глава мзс кулеба",2023-11-03,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"екснардеп ірина фаріон назвала героїв «азовукацапами» я не можу назвати їх українцями, якщо вони не говорять українською мовою, то нехай себе назвуть ""руськімі"". чому вони такі очманілі? якщо вони такі великі патріоти, — покажіть свій патріотизм, вивчіть мову шевченка!"" ",2023-11-06,Political
Всевидящее ОКО 🇺🇦 | Новини Україна," перші f-16, передані україні нідерландами, вчора прибули до тренувального центру румунії, - столтенберг підписатись ",2023-11-08,Political
Всевидящее ОКО 🇺🇦 | Новини Україна," гроші з фонду на ремонт доріг (94,7 млрд грн) у 2024 році будуть переведені на безпеку й оборону, — міністр фінансів марченко за словами марченко, будівництво та ремонт доріг буде профінансовано тільки міжнародними фінансовими організаціями та урядами країн-партнерів. підписатись ",2023-11-16,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,біля кропивницького ппо збила ракету х-59,2023-11-16,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,первые фото сегодняшнего прилёта по энергетической инфраструктуре в одесской области ночью россияне атаковали её «шахедами». гсчс ликвидировали пожар после попадания.  прислать контент,2023-11-18,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"час мобілізувати 18-20-річних студентів, а не дідів, – командир штурмового батальону 3 ошбр в чому проблема, що студенти? ну і що? студенти не мають воювати? повинні. вони підходять? підходять. вони, що не вміють, не готові, не народжені для війни? ніхто не вміє, не готовий та не народжений для війни. питання у підході до підготовки. підписатися  надіслати контент",2023-11-19,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"20% українців брали безпосередню участь у революції гідності, – опитування фонду демократичні ініціативи 21 листопада 2013 року на протест у києві вийшло близько 1500 протестувальників і уже через 2 тижні на майдані стояло більше мільйона мітингувальників. підписатися  надіслати контент",2023-11-21,Political
Всевидящее ОКО 🇺🇦 | Новини Україна, на підльоті до києва збито 2 шахеди,2023-11-25,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"xiaomi представила умную кровать, которая борется с храпом кровать имеет 8 режимов, среди которых: чтение, йога, просмотр тв или игры. есть режим «антихрап», который приподнимает спинку кровати во время храпа и опускает, когда человек перестаёт храпеть. кровать также оснащена системой «умного» освещения — её можно использовать как лампу/ночник. цена вопроса на кровать с матрасом — 30.000 грн.  прислать контент",2023-11-28,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"теперь без ограничений: нацбанк разрешил банкам и обменникам продавать наличку доллара и евро в бесконечном количестве это должно минимизировать( .) разницу между наличным и безналичным курсами, стабилизировать его и повышать устойчивость валютного рынка.  прислать контент",2023-11-30,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"«я потеряла всё, но хочу задонатить на всу», — пенсионерка, которая лишилась дома, купила беспилотник для бойцов чувство гордости распирает.  прислать контент",2023-12-01,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,как достать соседа? львовская версия  прислать контент,2023-12-01,Other
Всевидящее ОКО 🇺🇦 | Новини Україна," сша используют сейчас остатки финансовой помощи украине, около 97% этих ресурсов исчерпано, — госдепартамент сша оценивают положение киева как «тяжелое» с учетом, что деньги на поддержку закончатся «очень скоро».  прислать контент",2023-12-04,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"зеленський завтра приїде в сша, де зустрінеться з байденом, — оп серед ключових тем на переговорах у вашингтоні буде продовження оборонної співпраці україни та сша, зокрема спільних проєктів із виробництва зброї та систем ппо. зустріч зеленського з байденом запланована на 12 грудня. підписатися  надіслати контент",2023-12-10,Political
Всевидящее ОКО 🇺🇦 | Новини Україна," начало переговоров о присоединении к ес украине важнее, чем выделение дополнительных $50 млрд, — зеленский  прислать контент",2023-12-16,Political
Всевидящее ОКО 🇺🇦 | Новини Україна," украина начала полномасштабно производить свои бпла-камикадзе aq-400, — defence blog он может нести до 32 кг боевой части и способен лететь 750 км. изначально планировалось изготовление около 100 таких в месяц, но компания хочет увеличить это число в 5 раз.  прислать контент",2023-12-16,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"одна активная пьянка опаснее для печени, чем несколько приёмов алкоголя за неделю, — исследование организму будет проще, если выпьете 2-3 бокала в день, чем недельную норму за раз. учитесь правильному употреблению и поделитесь с друзьями.  прислать контент",2023-12-17,Other
Всевидящее ОКО 🇺🇦 | Новини Україна," в ""дії"" появятся электронные ветпаспорта домашних животных, — денис башлык преимущества принятого постановления для владельцев: будет возможность восстановить документы на животное и подтвердить право собственности, облегчится поиск пропавших животных, а впоследствии в ""дії"" будут отображаться электронные ветеринарные паспорта.  прислать контент",2023-12-20,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"в киеве шахед прилетел по жилому дому, — местные сми  прислать контент",2023-12-21,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"змі стверджують, що це все, що залишилося від корабля ""новочеркаськ"" у феодосії підписатися  надіслати контент",2023-12-26,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"даже час недосыпа за одну ночь может вызвать тревогу и депрессию: исследование психологи заявили, что, если испытуемые ложились спать хотя бы на час или два позже обычного, их радость, счастье и удовлетворенность падали, а тревога и повышенное беспокойство усиливались. теперь опоздание называется не ""проспал"", а ""позаботился о здоровье"".  прислать контент",2023-12-27,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"за 30 лет в украине не начали производство оружия, хотя у нас огромный оборонно-промышленный комплекс, более 250 предприятий, — игнат нет оперативно-тактического ракетного комплекса ""гром-2"". непонятная ситуация с танками. украина не способна будет построить свой самолет. из самолетостроения мы имеем один ""антонов"". мы поздно начали что-то делать. вся надежда на запад и наше с ними сотрудничество, — заявил спикер пс.  прислать контент",2023-12-27,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"украинские ракеты, которые бьют по крыму, наводят самолеты-разведчики стран нато, — bild географическое положение крыма позволяет самолётам-разведчикам нато фиксировать каждое передвижение и радиосообщение вс рф на полуострове и передавать инфу всу. по словам рёпке, крым — слишком слабое место путина.  прислать контент",2023-12-28,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна," в гур опубликовали кадры спецоперации в рф, в результате которой уничтожен истребитель-бомбардировщик су-34  прислать контент",2024-01-04,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна," ес пообещал дать деньги украине до марта, — euractive со ссылкой на источники в евросоюзе  прислать контент",2024-01-10,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,парень как-то решил покормить уличного котика и через несколько дней пушистый пришел к нему со всей своей семьёй теперь у чела собственная семья котов.  прислать контент,2024-01-16,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"еще кадры из харькова: разрушенный жилой дом, — полиция 11 людей пострадали. разрушены многоквартирные жилые дома, учебное заведение.  прислать контент",2024-01-23,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"военный самолет ил-76 упал в белгородской области, — россми на борту было 63 человека. их судьба уточняется.  прислать контент",2024-01-24,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,«хочеш хлопчика їбать - нужно много работать» голая вечеринка для мужчин в одном из отелей на горнолыжном курорте «драгобрат».  прислать контент,2024-01-27,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"на бали страшное нашествие огромных пауков, которые буквально повсюду  прислать контент",2024-02-02,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,жители киева и района сообщают о частичном отсутствии света и водоснабжения  прислать контент,2024-02-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"вітаємо друзі!до вас звертаються бійці 3-ї окремої штурмової бригади із проханням підтримати збір коштів на ремонт двох автомобілей, бо справне авто це запорука збереження життя наших захисників. дуже розраховуємо на вашу підтримку! слава україні монобанка  монобанк 5375411214582517  приватбанк 4149499379383100 або миттєвий переказ звіти дивіться на каналі будні волонтерів по питаннях щодо збору пишіть @dmytro_newhope",2024-02-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"мобилизация должна быть ""замотивирована"", — нардеп костенко среди вариантов мотивации он предложил такие: уничтожение российской техники за вознаграждение. премии за подписание контракта с всу. ввоз авто без оплаты пошлины для военных, которые пробыли на поле боя 12 месяцев. эту войну невозможно выиграть непрофессиональным мобилизационным ресурсом. есть два пути: можно набрать еще 500 тыс. и воевать дальше, а можно взять 100 тыс. мотивированных людей и вести с ними войну профессионально, — сказал он.  прислать контент",2024-02-10,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"известно уже о 7 погибших в харькове после прилётов «шахедов», — ова среди погибших — трое детей.  прислать контент",2024-02-10,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"начнется военная агрессия — я, как бывший солдат, возьму автомат в руки и пойду воевать, - кличко  прислать контент",2024-02-12,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"советник главы оп подоляк подтвердил, что его старший брат живет в москве если человеку 60 лет, мне 51, я должен нести ответственность за других людей? люди в советском союзе выбрали жить в другой стране. я не могу нести ответственность за других взрослых людей, точно так же как и сырский и любой другой человек, родившийся в советском союзе. к кгб и фсб мои родственники никогда не относились, — заявил он. подоляк говорит, что с братом имеет разные взгляды и не общается.  прислать контент",2024-02-14,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"«мне не подходит вариант такого явления как украина» те самые мирные жители авдеевки, которые оставались в городе до последнего.  прислать контент",2024-02-19,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"иран отправляет своих добровольцев элитного формирования «корпус стражей исламской революции» воевать за россию. фото публикуют российские тг-каналы сообщается, что они находятся где-то на донбассе.  прислать контент",2024-02-19,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"в украине снова зазвучали разговоры о необходимости вернуть стране ядерный статус. про то, что нужно создать свою атомную бомбу, говорили и ранее. может ли украина произвести собственное яо? что для этого нужно? что сделают с украиной, если она начнет это делать? ответили на эти интересные вопросы в нашем аналитическом канале -",2024-02-19,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"стреляли из какого-то неизвестного оружия. не patriot, а что-то посерьезнее, — россми погибли от 12 до 17 русских.  прислать контент",2024-02-23,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,24 февраля и российские сми  прислать контент,2024-02-23,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"«мы взяли населенный пункт байден и меркель, а трамп не взяли» пленный русский поделился историей о том, как армия рф выдуманные н.п. захватывала.  прислать контент",2024-02-27,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,испанские фермеры раскидали помидоры из десятка фур и перекрыли дороги это всё — протест против импортных товаров.  прислать контент,2024-02-28,Economical
Лачен пише, чернігів та передмістя. уважно.,2023-08-01,Crisis
Лачен пише,"дбр повідомило про підозру військовому комісару одного з районів закарпаття, який змушував солдат будувати його маєток. було вилучено $3.5 тис., атрибутику рф (монети, документи про здобуття освіти), посвідчення офіцера мо срср.",2023-08-02,Corruption
Лачен пише,"сбу, ви там на каналі хоть маякніть якось",2023-08-04,Corruption
Лачен пише,"станом на 01:05. > до 15-ти бортів стратегічної авіації ту-95мс у повітрі, рухаються на пускові рубежі. не всі з них споряджені ракетами; > бляшанки у вигляді бпла на хмельниччині; > крилаті ракети «калібр» у напрямку київщини.",2023-08-05,Crisis
Лачен пише,"збір для спецпідрозділу на 18 дронів-камікадзе «рубака» з дальністю польоту 500 км. зібрано вже майже 7 мільйонів з 10, тож давайте доб’ємо  зібрали, ви найкращі ",2023-08-07,Crisis
Лачен пише,01:40 > з київщини тримають траекторію у західному напрямку. біла церква — рух через вас.,2023-08-09,Crisis
Лачен пише,"польща збільшить кількість військових на кордоні з білоруссю до 10 тисяч, — міністр оборони.",2023-08-10,Political
Лачен пише,"житомирська, вінницька, хмельницька, чернівецька - в укриття!",2023-08-11,Crisis
Лачен пише,"пожежа виникла на території державного науково-дослідного експертно-криміналістичного центру мвс у складському приміщенні, — мвс. постраждали працівники експертної служби. upd: вибух стався через детонацію під час експертизи вибухонебезпечних предметів.",2023-08-19,Crisis
Лачен пише,вже відомо про 6 загиблих,2023-08-19,Crisis
Лачен пише,до києва також прибув президент литви,2023-08-23,Political
Лачен пише,"оце я розумію початок 24 серпня гур звісно рекси, стільки операцій виконують, більшість яких залишиться у таємниці",2023-08-24,Crisis
Лачен пише,"триває розслідування того, що сталося. деталі говорити зарано. звичайно, будуть зʼясовані всі обставини — зеленський",2023-08-26,Political
Лачен пише,04:10 > ракети рухаються у напрямку києва. можуть маневрувати.,2023-08-27,Crisis
Лачен пише,"там у comfy дн зі знижками до -50% на купу всього + швидка доставка за 1 грн по всій україні. для мене comfy топові, тому, якщо хотіли щось придбати — зараз найкраща можливість.",2023-08-28,Other
Лачен пише, вибух у т.о. бердянську.,2023-09-02,Crisis
Лачен пише,вночі русня атакувала безпілотниками південні райони одещини. збито 22 з 25,2023-09-03,Crisis
Лачен пише," сша передають україні снаряди зі збідненим ураном для танків abrams в рамках пакету на 175 мільйони доларів, — пентагон. у нього також увійшли обладнання для ппо, боєприпаси для himars, мінометні системи та снаряди та понад 3 мільйони патронів до стрілецької зброї.",2023-09-06,Political
Лачен пише, вибухи у т.о. донецьку.,2023-09-14,Crisis
Лачен пише,київ та низка областей — повітряна тривога. загроза балістики. upd. відбій.,2023-09-16,Crisis
Лачен пише,"пишуть, що в донецьку прилетіло по адміністрації петушиліна",2023-09-18,Crisis
Лачен пише,південь — загроза раніше запущених бпла з криму.,2023-09-25,Crisis
Лачен пише,русня нанесла авіаудар по коксохіму у авдіївці,2023-09-28,Crisis
Лачен пише,"ракетна небезпека у областях, де оголошена тривога.",2023-10-19,Crisis
Лачен пише,"українські військові моряки беруть участь у багатонаціональному навчанні ""joint warrior -23-іі"", — вмс зсу. навчання проходять у межах територіальних вод британії за участі військ великої британії, а також суден нідерландів, бельгії, польщі, німеччини, данії та україни.",2023-10-23,Political
Лачен пише,начальник генерального штабу чехії прибув до києва і провів переговори з головнокомандувачем зсу валерієм залужним.,2023-11-02,Political
Лачен пише,одеса — укриття.,2023-11-10,Crisis
Лачен пише," офіційно: німеччина подвоїть військову допомогу україні з 4 млрд до 8 млрд євро у наступному році, — міністр оборони фрн. ",2023-11-12,Political
Лачен пише,московська область — робота ппо по бпла.,2023-11-19,Crisis
Лачен пише,"ексголова держспецзв’язку щиголь, нардеп одарченко та забудовник копистира вийшли із сізо, у всіх трьох випадках внесено заставу, визначену судом. після виходу із сізо, усі підозрювані повинні будуть дотримуватися ряду обов'язків, зокрема утриматися від спілкування з свідками чи іншими підозрюваними, здати паспорти для виїзду за кордон та носити електронний браслет. просто цирк)",2023-11-24,Corruption
Лачен пише,00:15 у передмісті столиці працює ппо. загроза зберігається. рух групок бпла транзитно продовжується за тим ж самим напрямком: запорізька область → дніпропетровщина → полтавщина/черкащина → київщина.,2023-11-25,Crisis
Лачен пише,"повітряні сили україни не будуть оголошувати тривогу, якщо російський міг-31к не становить загрози, — речник повітряних сил. але точно дізнатися про це не завжди можливо.",2023-12-04,Political
Лачен пише,"порошенко підтвердив, що його не випустили за кордон переконувати лідерів ""скептичних держав"" єс, а саме з орбаном. до цього, у його партії нібито заявляли, що порошенко не мав планів зустрітися з орбаном. крім того, у партії звинуватили владу у тому, що вона не випустила за кордон інших депутатів від «європейської солідарності».",2023-12-04,Political
Лачен пише,у києві відкрили пам'ятник герою україни олександру мацієвському,2023-12-06,Other
Лачен пише,"за весь час платформі united24 задонатили 500 млн доларів кошти конвертували у тисячі бпак, перший флот морських дронів, реанімобілі класу с, бронеавтівки швидкої допомоги, сотні генераторів та іншого обладнання для лікарень. також їх виділили на відбудівлю 22 мостів, 2 лікарень і першого в україні центру протимінної діяльності. 18 багатоквартирних будинків та школи вже відбудовуються. united24 донатили зі 110 країн світу. тут і ваші донати, дуже вам вдячний за підтримку багатьох проєктів ",2023-12-07,Economical
Лачен пише,"дбр спільно з місцевою поліцією провело обшуки в іспанській нерухомості колишнього військкома одеси який зараз у сізо, майно арештовано",2023-12-14,Corruption
Лачен пише,"завдяки вашим донатам 12 автівок отримали військові підрозділів: - ссо - рубпак нгу ""рубіж"" - гур мо - 117 омбр - сили ппо (пепіто-мобіль!) - 12 бригада нгу ""азов"" - 58 омпбр - 78 полк дшв - 47 омбр все це завдяки вашій небайдужості. дякую ",2023-12-22,Crisis
Лачен пише,повістка про виклик до тцк може бути надіслана громадянину через електронний кабінет військовозобов’язаного або на електронну пошту.,2023-12-25,Political
Лачен пише,повітряні сили ,2024-01-05,Crisis
Лачен пише,"захиснику маріуполя та азовсталі з позивним смурф, який 10 місяців був у полоні, не дали убд. ",2024-01-05,Other
Лачен пише,"07:32 > те, що залишилось від груп ракет – маневрує на хмельниччині. ведеться бойова робота. без інших загроз станом на зараз.",2024-01-08,Crisis
Лачен пише,"відбій тривог, сили ппо ",2024-01-08,Crisis
Лачен пише,робота дснс на харківщині ,2024-01-08,Crisis
Лачен пише,"українські бпла у ніч на 18 січня атакували нафтобазу в ленінградській області рф. це спецоперація гур, повідомили суспільному джерела в спецслужбах. відтепер військові об'єкти пітєра та ленінградської області – у зоні досяжності українських сил. є підтверджені влучання по цілях.",2024-01-18,Crisis
Лачен пише,триває ліквідація пожежі внаслідок російської атаки по промисловому обʼєкту у кременчуцькому районі на полтавщині. попередньо — дві балістичні ракети. світлина від ова.,2024-01-27,Crisis
Лачен пише,"із основного — ніби все. для бажаючих ознайомитись з текстом, прикріпляю файл на 175 сторінок. наголошую, це тільки законопроєкт. ніхто не може доцільно знати пройде він голосування чи ні.",2024-01-30,Political
Лачен пише,"гучно в одесі, працює ппо по металобрухту",2024-02-09,Crisis
