channel,txt,date,category
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"100 000$ за «порешать вопрос» эксразведчик роман червинский, являющийся фигурантом неудачной попытки захвата вражеского самолета, приведшей к жертвам среди украинских военных, засветился в коррупционном скандале. в сеть выложили видео, где червинский, выдавая себя за должностное лицо из налоговой, обещает бизнесмену договориться с судами и гфс, и вытащить груз контрабандных сигарет, застрявших на одесской таможне. цена «услуги» – 100 тыс. долларов. «дальше пойдем договариваться в суде. все вот – 100 тысяч», «мы готовы прокурировать этот груз до определенной точки», «пацаны, вы в теме!», – обещает червинский.",2023-05-10,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"16 соток живописного берега киевского моря продали за 16 тысяч грн, и это в то время, когда военные и другие категории граждан, которым земля положена по закону, не могут ее получить. аттракцион невиданной наглости от дымерского сельсовета. upd. для писак в комментариях. отдача земли в аренду на 49 лет для ""сінокосіння"" является стандартной и отработанной коррупционной схемой для чиновников. целевое назначение спустя время можно изменить.",2023-11-06,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"1⃣2⃣ поки волонтери збирають копійки на зсу, місцеві бюджети пускають мільярди на вітер забувши, що у країні триває війна, органи місцевого самоврядування по черзі спалюють мільярди гривень на висадженні клумб, ремонті доріг та реставрації адміністративних будівель. лише з найсвіжіших закупівель: на дороги та освітлення у дніпропетровській, запорізькій, київській та волинській областях облради готові витратити сумарно 1,2 мільярди гривень. подібних багатомільйонних замовлень - сотні: було, є і, якщо ніяк на це не вплинути, буде. схоже, що у народних депутатів все ж вистачає політичної волі на прийняття законопроєктів, що покращать ситуацію в країні, та чи вдасться побороти монстра корупційної спокуси всередині - читайте у матеріалі уніан.",2023-10-12,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"89% украинцев считают коррупцию второй проблемой после войны, следует из данных опроса кмис каждый пятый респондент уверен, что после начала вторжения уровень коррупции в украине снизился. остаться с нами в телеграм | восхититься нашим youtube",2023-08-07,Corruption
Новинач,"cбу та беб провели обшуки у 16-ти облгазах по усій країні — топменеджмент викрили на розкраданні державного палива, що лише у 2021 році призвело до збитків на майже 3,5 млрд грн",2023-03-17,Corruption
Новинач,"cуд визнав дональда трампа винним у шахрайстві — reuters. експрезидент сша, його компанія та її ключове керівництво неодноразово брехали у своїх річних фінансових звітах",2023-09-26,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"«мы наносим удар по внутреннему врагу»: глава сбу василий малюк о сегодняшних обысках по его словам, ведомство выполняет поставленное президентом задание и это только первый этап той комплексной и системной работы, которую уже ведет сбу.  «мы не планируем останавливаться. каждый преступник, имеющий наглость вредить украине, особенно в условиях войны, должен четко осознать - мы наденем наручники ему на руки», - сказал малюк.",2023-02-01,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"а лидера партии ""батькивщина"" юлию тимошенко заметили в дубае журналисты уп показали видео ее отдыха 5 января на вилле 5-звездочного отеля kempinski на насыпном острове палм-джумейра. тимошенко заметила журналиста и пыталась спрятать лицо, а позже - поспешно ретировалась.",2023-01-27,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,а так можно было?  высший антикоррупционный суд - самый гуманный суд в мире! ,2023-02-01,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"а такую вот ""картину"" заметили в офисе экс-нардепа и руководителя ""укрбуда"" максима микитася фото опубликовал журналист денис казанский. микитась является фигурантом четырех коррупционных дел. последнее подозрение ему вручили 25 октября о хищении более 307 млн грн минобороны на строительстве в 2018 году складов для хранения ракет и боеприпасов. видимо, на ""иконах"" как раз запечатлен момент председательства экс-нардепа в ""укрбуде"" в 2010-2016 годах. сколько ""ликов святых"" узнали - пишите в комментариях ",2023-11-04,Corruption
RT на русском,"бельгийская полиция проводит обыски в штаб-квартире крупнейшей в европарламенте фракции — европейской народной партии. они проходят в рамках расследования, связанного с коррупцией на выборах в еп в 2019 году, пишет портал euractiv со ссылкой на источник в правоохранительных органах. сообщается, что силовики изъяли компьютеры. ",2023-04-04,Corruption
РИА Новости,"бывший глава управления собственной безопасности ск михаил максименко, осужденный на 14 лет за взятки, найден мертвым в колонии, рассказал риа новости источник. причины произошедшего пока неизвестны.",2023-11-21,Corruption
Новинач,"більшість українців (78%) вважають, що зеленський несе пряму відповідальність за корупцію в уряді та воєнних адміністраціях — кміс",2023-09-11,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,в раду внесен законопроект о приравнивании коррупции в период военного положения к госизмене остаться с нами в телеграм | восхититься нашим youtube,2023-08-30,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"в украинском реестре коррупционеров значатся 45 тысяч человек, сообщил глава напк новиков из них 24 тысячи с отметкой об административных нарушениях, еще 15 тысяч - за уголовные и две тысячи - за дисциплинарные правонарушения. остаться с нами в телеграм | восхититься нашим youtube",2023-08-29,Corruption
Новинач,вакс вперше ухвалив рішення про виплату винагороди викривачу корупції — він отримає 13 299 950 гривень. мова йде про справу щодо спроби підкупу керівництва сап та набу ексміністром екології часів януковича миколою злочевським та його спільниками у 2020 році,2023-10-02,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"вакс заочно арестовал бывшего главу минздрава максима степанова его подозревают в присвоении более 450 миллионов гривен во время его председательства в госпредприятии ""полиграфический комбинат украина"". сейчас степанов находится за границей. остаться с нами в телеграм | восхититься нашим youtube",2023-09-14,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"вакс объявил скрывающегося за границей депутата киевсовета трубицина в международный розыск депутат киевского горсовета от ""слуги народа"" владислав трубицын убежал за границу 13 мая. на момент пересечения трубицыным границы он находился под залогом и был обязан являться на заседание в высшем антикоррупционном суде, который рассматривает дело о получении взятки трубицыным в 1,39 млн гривен. основанием для выезда трубицына за границу стала его деятельность как представителя благотворительного фонда «родная оболонь», который он основал с председателем оболонской рга от ""слуг народа"" кириллом фесиком. остаться с нами в телеграм | восхититься нашим youtube",2023-06-05,Corruption
Новинач,"вакс разом з сап визнали мера полтави мамая винним у справі про зловживання службовим становищем та присудили 5 років позбавлення волі умовно. мамай також зобов’язався перерахувати 2 мільйони гривень на ""армію дронів""",2023-03-02,Corruption
Новинач,"верховна рада ухвалила закон про посилення самостійності спеціалізованої антикорупційної прокуратури шляхом її виводу зі структури офісу генпрокурора. після цього його підписав зеленський. прийняття цього законопроєкту — одна з вимог єврокомісії та мвф. при цьому сумнозвісні ""правки лозового"", що, зокрема, дозволяють суддям закривати справи, у яких закінчилися строки досудового розслідування, не були скасовані в повному обсязі. організації ""центр протидії корупції"" та ""transparency international"" закликають владу завершити почате",2023-12-08,Corruption
РИА Новости,"верховный суд отменил приговор экс-депутату госдумы белоусову, осужденному на 10 лет за взяточничество, дело пересмотрят, сообщили риа новости в суде",2023-12-27,Corruption
Новинач,"вищий антикорупційний суд відмовив в арешті ексглави ""нафтогазу"" андрія коболєва. нагадаємо, його підозрюють у заволодінні понад 229 млн грн у вигляді премії",2023-01-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"восстановление украины, на которое запад выделил миллиарды, столкнулось с высоким уровнем коррупции в стране - ""би-би-си"" отмечается, что всемирный банк оценивает затраты на восстановление украины в $411 млрд, однако сохраняется обеспокоенность по поводу неэффективного управления фондами. европейский союз подчеркивает, что борьба с коррупцией имеет решающее значение для вступления украины в ес. украина, занимающая 116-е место из 180 в индексе коррупции transparency international, стремится продемонстрировать свою приверженность прозрачности. усилия украины по борьбе с коррупцией демонстрируют прогресс: transparency international отметила ее рост на 28 мест за десять лет, пишет ""би-би-си"".",2023-12-21,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"вы не поверите, но нардеп алексеев от евросолидарности имел наглость припереться в раду и с трибуны заявить о том, что заведенное дело является ""политическим преследованием"" по его словам, переданные ему деньги - это была не взятка, а оплата двухлетнего труда адвокатов  ""могу вас заверить, что о взятке даже в обвинении речь не идет. зато мне пытаются инкриминировать мошенничество, которое не выдерживает никакой критики, поскольку это была оплата почти двухлетнего труда адвокатов"", - заявил алексеев. в свою очередь сбу утверждает, что это была взятка, и рассказывает, как нардеп всячески пытался избежать прослушки. так, на брифинге замглавы сбу наумюк рассказал, что нардеп назначал неожиданно встречи в ""элитных"" ресторанах поближе к комендантскому часу, часто их переносил, говорил шепотом, использовал жесты. но вчера его ""накрыли"" в закрытом коттеджном городке под киевом, когда алексеев взял второй транш взятки в 50 тыс. долларов за решение проблем с экстрадицией для иностранца. в гбр уже сообщили, что будут просить суд арестовать алексеева с альтернативой залога в 10 млн гривень. остаться с нами в телеграм | восхититься нашим youtube",2023-06-30,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"высший антикоррупционный суд объявил в розыск нардепа сергея шахова он подозревается в недекларировании имущества на сумму 88 млн грн. как сообщают в вакс, в течение 7 месяцев шахов не явился в суд. его адвокат заявила, что ""на то есть причины и нардеп находится на лечении в бишкеке"". однако правозащитница не предоставила никаких документов, подтверждавших, что нардеп находится на лечении и не смогла сказать, как долго он еще будет лечиться. остаться с нами в телеграм | восхититься нашим youtube",2023-03-31,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"высший совет правосудия дал добро на содержание под стражей экс-главы верховного суда князева решение одобрили 14 членов всп, утвердив таким образом ходатайство специализированной антикоррупционной прокуратуры. ранее князеву сообщили о подозрении в получении $2,7 млн взятки для принятия решения по делу константина жеваго. остаться с нами в телеграм | восхититься нашим youtube",2023-05-18,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"глава верховного суда всеволод князев задержан по делу о взяточничестве по делу жеваго по словам руководителя набу семена кривоноса, собственник группы ""финансы и кредит"" константин жеваго договорился с одним из владельцев адвокатских сообществ о даче взятки судье, чтобы в итоге принялось решение в пользу жеваго по делу о полтавском гок. через несколько дней после разговора, 15 марта должно было пройти заседание, но его перенесли, чтобы к тому времени нашлась нужная сумма. параллельно, проходила передача средств от бизнесмена адвокату и уже после этого, в начале мая, правозащитник получил ""отмашку"" от суда о распределении денег среди участников схемы. во время получения второй части взятки князева взяли с поличным. на брифинге также показали запись разговора фигурантов, а глава специализированной антикоррупционной прокуратуры александр клименко отметил, что всего задержаны два лица, но князеву подозрение еще не вручили, так как следствие продолжается. остаться с нами в телеграм | восхититься нашим youtube",2023-05-16,Corruption
РИА Новости,"глава дагестана пристыдил чиновников, ездящих ""с охраной в крузаках""",2023-10-20,Other
Новинач,"голова громадської антикорупційної ради при міноборони грушовець заявив, що куртки з туреччини, про які раніше писали медіа, точно були зимові. більшу частину цих курток вже було видано, однак якась партія залишається на складах, які збирається відвідати антикорупційна рада ""твердження розлідувачів, що куртки були літніми, не відповідає дійсності"", — сказав грушовець",2023-08-28,Corruption
Экономика,"госдума приняла в третьем чтении законопроект, по которому изъятое у коррупционеров дорогое жилье будут приватизировать и реализовывать на торгах. это следует из данных, размещенных на сайте нижней палаты парламента в среду, 12 июля. в пояснительной записке к документу отмечается, что сейчас в россии отсутствует порядок и основания для отчуждения из федеральной собственности жилых помещений (квартир), поступающих в государственный жилищный фонд, путем их возмездной реализации. при этом в госказне числится большой объем жилых помещений, зачастую это жилье большой площади и повышенной комфортности.",2023-07-13,Corruption
Новинач,"дбр затримало злочинну групу, яка привласнювала кошти, виділені на харчування військовослужбовців зсу. вони, зокрема, продавали яйця по 17 гривень",2023-02-02,Corruption
Лачен пише,"дбр повідомило про підозру військовому комісару одного з районів закарпаття, який змушував солдат будувати його маєток. було вилучено $3.5 тис., атрибутику рф (монети, документи про здобуття освіти), посвідчення офіцера мо срср.",2023-08-02,Corruption
Новинач,"дбр провело обшуки в маєтку володимира сальдо. виявили документи з прямими вказівками до вчинення злочинів проти україни, а також посібник ""радость сексу. книга о премудростях любви""",2023-01-06,Corruption
Лачен пише,"дбр спільно з місцевою поліцією провело обшуки в іспанській нерухомості колишнього військкома одеси який зараз у сізо, майно арештовано",2023-12-14,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"депутат верховной рады пытался в биткоинах дать взятку главе госагентства восстановления мустафе найему как сообщили в набу и сап, депутат просил содействия в получении средств из фонда ликвидации последствий вооруженной агрессии рф на ремонт объекта инфраструктуры, подконтрольного ему. сумма взятки составила $50 тысяч в биткоинах. это первая в истории антикоррупционных органов взятка в крипте. предварительно, речь идет о нардепе андрее одарченко.",2023-11-21,Corruption
Новинач,"депутата сергія алєксєєва викрито на шахрайстві — він обіцяв іноземцю своє сприяння в уникненні екстрадиції за $50 000. нардеп ""гарантував"" використати власні зв’язки у суді, щоб там дозволили іноземцю (громадянину німеччини) отримати статус біженця, пише сбу. парламентарю загрожує 12 років позбавлення волі з конфіскацією майна. партія ""європейська солідарність"", членом якої є алєксєєв, написала про нічні обшуки у нардепа і заявила, що розцінює їх як ""політичну провокацію, спрямовану на дискредитацію політичної сили і залякування її представників""",2023-06-30,Corruption
Новинач,"директора департаменту закупівель міноборони богдана хмельницького також було звільнено після скандалу з харчами. про це, як повідомляє голова комітету вр з питань антикорупційної політики, заявив резніков на засіданні. в серпні у хмельницького проходив обшук в рамках справи про розкрадання $580 тисяч під час закупівлі амуніції. уп писало, що в його дивані знайшли гроші, але міноборони спростувало це і додало, що жодних підозр він не отримував",2023-01-25,Corruption
Новинач,економічний та антикорупційний ефект від діджиталізації за 2 роки перевищив 16 мільярдів гривень — шмигаль,2023-09-19,Economical
Лачен пише,"ексголова держспецзв’язку щиголь, нардеп одарченко та забудовник копистира вийшли із сізо, у всіх трьох випадках внесено заставу, визначену судом. після виходу із сізо, усі підозрювані повинні будуть дотримуватися ряду обов'язків, зокрема утриматися від спілкування з свідками чи іншими підозрюваними, здати паспорти для виїзду за кордон та носити електронний браслет. просто цирк)",2023-11-24,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"журналисты проекта bihus.info выиграли у друга порошенко гладковского-старшего дело по расследованию об ""оборонке"" речь идет об иске о признании недостоверной информации, обнародованной в журналистском расследовании ""армия.друзья.бабки"". соответственно также суд отказал гладковскому и в возмещении ""морального ущерба"" в размере 2 млн гривен. напомним, в феврале-марте 2019-го года журналисты bihus.info опубликовали серию расследований о коррупционных схемах в оборонной отрасли ближайшего окружения петра порошенко - ""группы гладковского-жукова-рогозы"", одним из участников трио был сын тогдашнего заместителя главы снбо олега гладковского. по данным журналистов, с помощью этих схем ""мальчики"" распилили более 250 млн грн из бюджета страны. кроме самого решения суда здесь важен еще один момент. дело в том, что ранее порохоботы очень любили рассказывать, что дело это заказное, расследование фейковое и сильно повлияло на исход выборов. мол, все это были черные политтехнологии. но теперь суд расставил все точки над ""и"" и порохоботы снова оказались где? правильно, там где им и место  а само расследование ""армия.друзья.бабки""вы можете посмотреть на канале проекта bihus.info.",2023-06-20,Corruption
Новинач,"за ексміністра інфраструктури андрія пивоварського внесли заставу у 10 000 000 грн. таку суму вчора призначив вакс, підозрюючи колишнього чиновника у ймовірному зловживанні владою",2023-03-17,Corruption
Новинач,"за матеріалами слідства, дубінський із позивним ""буратіно"" входив до складу злочинної організації російської гру. мета цього угруповання — розхитування суспільно-політичної ситуації в україні та дискредитація нашої держави на міжнародній арені. дубінський поширював фейки про вище військово-політичне керівництво нашої держави, зокрема про нібито втручання українських високопосадовців у президентські вибори в сша у 2019 році. за наявними даними, фінансування мережі сягало понад $10 000 000. окрім дубінського, до складу угруповання входив екснардеп андрій деркач, який напередодні повномасштабного вторгнення рф втік за кордон",2023-11-13,Corruption
Новинач,"за підсумками 2022 року україна отримала +1 бал в індексі сприйняття корупції (це покращення) і посідає 116 місце зі 180 країн. тепер в нас 33 бали зі 100 (+8 за 10 років) — стільки ж має алжир, ангола, замбія, монголія, сальвадор та філіппіни",2023-01-31,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"замгенпрокурора алексея симоненко сегодня попросили написать заявление об отставке - сми это тот самый симоненко, который отправился с семьёй праздновать новый год в марбелью, воспользовавшись авто бизнесмена григория козловского. отмечается, что это не единственное кадровое решение после громких коррупционных скандалов в последние дни.",2023-01-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"замгенпрокурора симоненко хочет избежать ответственности за коррупционный скандал с поездкой в испанию заместитель генерального прокурора алексей симоненко, по всей видимости, надеется, что шум вокруг закупок минобороны, скандал с домом депутата от «слуг народа» и задержание замминистра на взятке как-то приглушат резонанс от его собственной проблемы. в прошлую пятницу стало известно, что руководитель силового ведомства в воюющей стране - во-первых, позволил себе десятидневный отпуск на новый год (в то время как все руководство украины занимается войной в режиме 24/7); - во-вторых, для этого отпуска выехал за границу (интересно, каким именно образом при прямом запрете на выезд мужчин призывного возраста – как волонтер? или по государственным делам? или может «на конференцию»? или как замгенпрокурора, потому что «может»?); - в-третьих, выбрал для этого отпуска не самое дешевое место в марбелье в испании (еще предстоит выяснить – это собственная вилла или арендованная, но в любом случае вопрос происхождения средств остается); - в-четвертых, что границу он пересекал на машине и с водителем (двумя) фирмы григория козловского - №1 производителя контрафактных сигарет, которые под видом «дьюти фри» продаются на раскладках, в киосках и интернете без уплаты налогов, и составляют головокружительные 20% всего (!) рынка табачных изделий. интересно, как офис генпрокурора будет заниматься борьбой с нелегальным рынком сигарет после такого? президент в обращении к парламенту заявлял, что солдат в окопе не мотивирует, когда кто-то из политиков или чиновников спускается на лыжах где-то в европе, или пиарится на фоне какой-то столицы за пределами страны. в принципе, симоненко не вышел за рамки: он поехал на море, а не на лыжи, и при этом не в столицу. молодец. как думаете, сойдет с рук?",2023-01-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"замгенпрокурора симоненко хочет избежать ответственности за коррупционный скандал с поездкой в испанию заместитель генерального прокурора алексей симоненко, по всей видимости, надеется, что шум вокруг закупок минобороны, скандал с домом депутата от «слуг народа» и задержание замминистра на взятке как-то приглушат резонанс от его собственной проблемы. в прошлую пятницу стало известно, что руководитель силового ведомства в воюющей стране - во-первых, позволил себе десятидневный отпуск на новый год (в то время как все руководство украины занимается войной в режиме 24/7); - во-вторых, для этого отпуска выехал за границу (интересно, каким именно образом при прямом запрете на выезд мужчин призывного возраста – как волонтер? или по государственным делам? или может «на конференцию»? или как замгенпрокурора, потому что «может»?); - в-третьих, выбрал для этого отпуска не самое дешевое место в марбелье в испании (еще предстоит выяснить – это собственная вилла или арендованная, но в любом случае вопрос происхождения средств остается); - в-четвертых, что границу он пересекал на машине и с водителем (двумя) фирмы григория козловского - №1 производителя контрафактных сигарет, которые под видом «дьюти фри» продаются на раскладках, в киосках и интернете без уплаты налогов, и составляют головокружительные 20% всего (!) рынка табачных изделий. интересно, как офис генпрокурора будет заниматься борьбой с нелегальным рынком сигарет после такого? президент в обращении к парламенту заявлял, что солдат в окопе не мотивирует, когда кто-то из политиков или чиновников спускается на лыжах где-то в европе, или пиарится на фоне какой-то столицы за пределами страны. в принципе, симоненко не вышел за рамки: он поехал на море, а не на лыжи, и при этом не в столицу. молодец. как думаете, сойдет с рук?",2023-01-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"замглавы оп кирилл тимошенко подал в отставку - ""украинская правда"" по данным издания, на его место планируют назначить главу киевской ова алексея кулебу.",2023-01-23,Political
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"зеленский в своём вечернем обращении прокомментировал задержание замминистра лозинского, которого подозревают в коррупции, а также скандал с закупками продовольствия в минобороны ""в каждой ситуации будем подробно разбираться. общество получит полную информацию, а государство сделает мощные необходимые шаги. конечно, сейчас основное внимание - вопросам обороны, внешней политике, войне. но это не значит, что я не вижу и не слышу, что говорят в обществе на разных уровнях"", - отметил он. по его словам, на предстоящей неделе ожидаются ""конкретные и справедливые решения"".",2023-01-22,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"зеленский созывает заседание снбо для обсуждения коррупции в судах и подготовке укрытий заседание пройдет 23 июня и с докладами выступят главы сбу и мвд василий малюк и игорь клименко, а также министр стратегических отраслей и промышленности александр камышин. остаться с нами в телеграм | восхититься нашим youtube",2023-06-16,Corruption
Новинач,"зеленський запропонує раді прирівняти корупцію до держзради на військовий час. ""я розумію, що така ""зброя"" не може діяти постійно в суспільстві, але, думаю, на військовий час — це допоможе"", — сказав він",2023-08-27,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"и даже коммунальщики засыпают обратно ямы, которые нарыли как кроты по приказу обосравшегося ху*ла. на видео город липецк. остаться с нами в телеграм | восхититься нашим youtube",2023-06-24,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,из-за коррупционных скандалов в украине проверят все решения влк о непригодности к службе с начала войны. тема обсуждалась на сегодняшнем заседании снбо остаться с нами в телеграм | восхититься нашим youtube,2023-08-30,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"князеву и его сообщнику объявили подозрение как информирует набу, дело квалифицировали как подкуп лица, предоставляющего публичные услуги - ч. 4 ст. 368 ук украины. накануне набу и специализированная антикоррупционная прокуратура разоблачили подозреваемых ""на горячем"". деньги передавали председателю верховного суда князеву в обмен на решение в пользу одного из украинских бизнесменов. остаться с нами в телеграм | восхититься нашим youtube",2023-05-16,Corruption
Новинач,"коломойському вручили підозру у шахрайстві та легалізації майна, отриманого шахрайським шляхом",2023-09-02,Corruption
